X,Y,Bed
456820.0,-1062100.0,-265.87
456800.0,-1062200.0,-268.24
456770.0,-1062300.0,-264.92
456730.0,-1062500.0,-262.31
456700.0,-1062600.0,-268.06
456660.0,-1062700.0,-274.14
456630.0,-1062800.0,-275.07
456610.0,-1062900.0,-277.09
456570.0,-1063000.0,-280.04
456540.0,-1063100.0,-278.18
456500.0,-1063300.0,-279.0
456490.0,-1063300.0,-276.72
456450.0,-1063400.0,-275.21
456410.0,-1063600.0,-273.4
456380.0,-1063700.0,-266.9
456340.0,-1063800.0,-262.66
456320.0,-1063900.0,-267.13
456290.0,-1064000.0,-274.69
456250.0,-1064100.0,-293.94
456220.0,-1064300.0,-313.19
456190.0,-1064400.0,-318.87
456160.0,-1064500.0,-319.32
456130.0,-1064600.0,-317.62
456090.0,-1064700.0,-315.94
456050.0,-1064800.0,-317.93
456010.0,-1065000.0,-318.7
455990.0,-1065000.0,-316.76
455950.0,-1065100.0,-314.53
455910.0,-1065300.0,-315.57
455860.0,-1065400.0,-323.86
455840.0,-1065500.0,-332.78
455790.0,-1065600.0,-341.08
455750.0,-1065700.0,-347.2
455700.0,-1065800.0,-347.43
455660.0,-1066000.0,-360.04
455620.0,-1066100.0,-376.68
455590.0,-1066100.0,-381.76
455540.0,-1066300.0,-383.04
455500.0,-1066400.0,-384.0
455470.0,-1066500.0,-388.28
455430.0,-1066600.0,-390.06
455390.0,-1066700.0,-391.51
455340.0,-1066800.0,-392.08
455290.0,-1067000.0,-388.79
455250.0,-1067100.0,-388.79
455230.0,-1067200.0,-386.04
455180.0,-1067300.0,-388.79
455130.0,-1067400.0,-400.77
455090.0,-1067500.0,-407.7
455060.0,-1067600.0,-408.47
455020.0,-1067700.0,-403.24
454970.0,-1067900.0,-401.53
454930.0,-1068000.0,-403.7
454880.0,-1068100.0,-403.59
454840.0,-1068200.0,-404.59
454810.0,-1068300.0,-404.31
454760.0,-1068400.0,-409.6
454720.0,-1068600.0,-407.09
454680.0,-1068700.0,-397.72
454650.0,-1068700.0,-405.15
454600.0,-1068900.0,-421.94
454550.0,-1069000.0,-428.68
454510.0,-1069100.0,-425.85
454460.0,-1069300.0,-430.79
454440.0,-1069300.0,-429.66
454390.0,-1069500.0,-417.81
454340.0,-1069600.0,-409.96
454290.0,-1069700.0,-409.42
454270.0,-1069800.0,-413.86
454220.0,-1069900.0,-428.45
454180.0,-1070000.0,-449.99
454130.0,-1070200.0,-455.75
454080.0,-1070300.0,-463.32
454040.0,-1070400.0,-481.66
454010.0,-1070500.0,-484.38
453960.0,-1070600.0,-471.95
453910.0,-1070700.0,-460.63
453870.0,-1070800.0,-450.9
453840.0,-1070900.0,-433.34
453790.0,-1071100.0,-411.08
453740.0,-1071200.0,-401.24
453700.0,-1071300.0,-406.53
453650.0,-1071500.0,-412.04
453630.0,-1071500.0,-431.96
453580.0,-1071600.0,-458.24
453530.0,-1071800.0,-474.99
453490.0,-1071900.0,-490.64
453470.0,-1072000.0,-515.44
453420.0,-1072100.0,-540.8
453370.0,-1072200.0,-550.75
453330.0,-1072400.0,-550.48
453280.0,-1072500.0,-537.33
453240.0,-1072600.0,-509.57
453210.0,-1072700.0,-488.24
453160.0,-1072800.0,-498.46
453110.0,-1072900.0,-528.9
453080.0,-1073000.0,-546.9
453040.0,-1073100.0,-543.88
452990.0,-1073300.0,-525.13
452950.0,-1073400.0,-507.42
452900.0,-1073500.0,-512.79
452850.0,-1073700.0,-534.52
452830.0,-1073700.0,-549.54
452780.0,-1073900.0,-547.02
452730.0,-1074000.0,-524.34
452680.0,-1074100.0,-493.37
452660.0,-1074200.0,-495.45
452610.0,-1074300.0,-531.72
452560.0,-1074400.0,-571.06
452520.0,-1074600.0,-590.86
452470.0,-1074700.0,-587.98
452430.0,-1074800.0,-579.89
452400.0,-1074900.0,-576.15
452350.0,-1075000.0,-575.17
452300.0,-1075200.0,-572.1
452260.0,-1075300.0,-572.69
452230.0,-1075400.0,-576.2
452180.0,-1075500.0,-576.09
452140.0,-1075600.0,-574.59
452090.0,-1075700.0,-573.66
452050.0,-1075900.0,-565.23
452020.0,-1075900.0,-556.5
451980.0,-1076100.0,-553.06
451930.0,-1076200.0,-554.18
451890.0,-1076300.0,-553.18
451870.0,-1076400.0,-556.8
451820.0,-1076500.0,-565.99
451780.0,-1076700.0,-570.89
451730.0,-1076800.0,-573.27
451680.0,-1076900.0,-572.48
451650.0,-1077000.0,-573.12
451610.0,-1077100.0,-574.26
451570.0,-1077300.0,-573.57
451520.0,-1077400.0,-571.79
451480.0,-1077500.0,-570.13
451440.0,-1077600.0,-570.47
451390.0,-1077700.0,-570.19
451340.0,-1077900.0,-567.8
451290.0,-1078000.0,-564.76
451240.0,-1078100.0,-561.8
451220.0,-1078200.0,-562.72
451160.0,-1078300.0,-560.97
451110.0,-1078400.0,-557.58
451060.0,-1078600.0,-551.96
451030.0,-1078600.0,-544.5
450980.0,-1078800.0,-544.28
450930.0,-1078900.0,-548.34
450880.0,-1079000.0,-547.78
450820.0,-1079200.0,-543.83
450790.0,-1079300.0,-544.74
450750.0,-1079300.0,-546.35
450690.0,-1079500.0,-542.38
450640.0,-1079600.0,-537.35
450600.0,-1079700.0,-530.15
450570.0,-1079800.0,-523.97
450510.0,-1079900.0,-524.96
450460.0,-1080100.0,-522.07
450410.0,-1080200.0,-513.08
450360.0,-1080300.0,-506.73
450340.0,-1080400.0,-503.43
450290.0,-1080500.0,-498.5
450240.0,-1080700.0,-495.64
450190.0,-1080800.0,-494.45
450160.0,-1080900.0,-485.29
450120.0,-1081000.0,-474.57
450070.0,-1081100.0,-468.47
450020.0,-1081300.0,-465.32
449970.0,-1081400.0,-456.96
449930.0,-1081500.0,-447.45
449900.0,-1081600.0,-440.87
449850.0,-1081700.0,-442.63
449800.0,-1081900.0,-442.56
449760.0,-1082000.0,-432.1
449730.0,-1082100.0,-415.09
449680.0,-1082200.0,-400.26
449630.0,-1082300.0,-395.75
449580.0,-1082500.0,-386.85
449530.0,-1082600.0,-377.36
449510.0,-1082700.0,-374.32
449460.0,-1082800.0,-370.24
449410.0,-1083000.0,-370.37
449360.0,-1083100.0,-371.67
449330.0,-1083200.0,-371.85
449280.0,-1083300.0,-369.29
449240.0,-1083400.0,-375.89
449190.0,-1083600.0,-391.07
449140.0,-1083700.0,-405.2
449100.0,-1083800.0,-428.09
449070.0,-1083900.0,-447.84
449020.0,-1084000.0,-457.2
448970.0,-1084100.0,-460.25
448930.0,-1084200.0,-444.48
448900.0,-1084300.0,-411.79
448850.0,-1084500.0,-365.7
448800.0,-1084600.0,-324.16
448750.0,-1084700.0,-299.56
448700.0,-1084900.0,-276.7
448680.0,-1084900.0,-259.44
448630.0,-1085000.0,-240.69
448580.0,-1085200.0,-221.26
448530.0,-1085300.0,-209.05
448510.0,-1085400.0,-201.9
448460.0,-1085500.0,-191.74
448410.0,-1085600.0,-181.18
448360.0,-1085800.0,-172.04
448310.0,-1085900.0,-167.1
448270.0,-1086000.0,-162.98
448240.0,-1086100.0,-158.73
448190.0,-1086200.0,-156.62
448140.0,-1086300.0,-155.55
448100.0,-1086400.0,-165.13
448070.0,-1086500.0,-169.88
448020.0,-1086600.0,-161.9
447970.0,-1086800.0,-154.38
447920.0,-1086900.0,-152.43
447880.0,-1087000.0,-157.13
447850.0,-1087100.0,-167.88
447800.0,-1087200.0,-168.11
447760.0,-1087300.0,-162.66
447710.0,-1087500.0,-165.17
447690.0,-1087500.0,-174.68
447640.0,-1087700.0,-181.98
447590.0,-1087800.0,-192.87
447540.0,-1087900.0,-199.8
447500.0,-1088000.0,-206.7
447460.0,-1088100.0,-225.32
447430.0,-1088200.0,-239.68
447380.0,-1088400.0,-238.82
447340.0,-1088500.0,-229.92
447300.0,-1088600.0,-232.07
447270.0,-1088700.0,-242.11
447220.0,-1088800.0,-242.39
447180.0,-1088900.0,-229.48
447130.0,-1089000.0,-213.95
447090.0,-1089200.0,-206.56
447060.0,-1089200.0,-203.96
447020.0,-1089300.0,-194.73
446970.0,-1089500.0,-182.04
446930.0,-1089600.0,-171.3
446910.0,-1089700.0,-166.98
446870.0,-1089800.0,-158.2
446820.0,-1089900.0,-152.23
446780.0,-1090000.0,-144.86
462330.0,-1090000.0,-539.28
462240.0,-1089900.0,-535.45
462150.0,-1089800.0,-528.06
462060.0,-1089700.0,-516.78
461960.0,-1089600.0,-505.53
461870.0,-1089500.0,-498.77
461770.0,-1089400.0,-497.25
461680.0,-1089300.0,-497.8
461590.0,-1089200.0,-497.8
461490.0,-1089100.0,-497.5
461390.0,-1089000.0,-497.76
461300.0,-1088900.0,-497.58
461190.0,-1088800.0,-495.57
461090.0,-1088700.0,-492.08
460990.0,-1088600.0,-489.44
460890.0,-1088500.0,-488.65
460790.0,-1088400.0,-488.61
